time	solvtemp2	totdisres	eR	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13
0	298.118925	0	-51.910861	317511712.0	54912480.3	506080.419	-26.1836822	15898.5564	250301662.0	3000.64146	124.352172	37.1171131	-14.1310568	-77.8029293	4696170.65	-426.5488
2	300.077168	0	-153.327515	376557.746	2140785170000.0	3007506.96	2275823.18	54758.772	-159.827515	1808.81168	28408.8208	694.211804	14563.2004	87878.8351	2430791.6	2781.11359
4	297.629389	0	-137.935572	2926.68513	22785443.5	6050.51665	2263.57233	10050.6739	-144.435572	2081.49566	2292.6085	10386.0719	213.070493	3325.09329	2429.17514	43629.907
6	294.997174	0	-146.045797	3477.05043	77848.2897	153417.323	-93.6092535	58288677.7	188090.953	6.52906175	82.3192364	-84.581803	-67.0063969	-171.945741	10282.907	-585.738804
8	296.201739	0	-144.194217	1136.97554	111693.611	20290241.7	72.8009441	10596.5621	4432997.77	4835.68446	-11.6842225	2953.32253	476.705813	76.5227708	9875.6401	16470.8818
10	293.975199	0	-80.1593926	5567.48713	11087.5927	894699.383	-69.0693905	804.617875	51767.3371	13.5957456	88.8270839	92.4439942	-18.6034335	-68.9523363	3413.13326	-502.001499
12	301.54513	0	-57.3561022	13539.2732	5316315.88	3146511.08	113.751176	316782.423	41535.465	276.217105	496.439866	23.9461243	38.4618819	-83.2561018	255615.532	-446.252992
14	295.268916	0	-22.7169103	635655.249	1118734.03	2640207.11	5.85687634	87135.3044	28179.7298	1332.42222	150.716286	12.2254903	18.7654952	153.682936	7117897.0	-316.457023
16	295.262796	0	-157.003029	1358.53318	2294.85925	52229.2386	-131.725811	6481161.59	-140.022324	-105.176655	10.9166326	-112.173091	-120.032481	-156.669392	-78.240681	-587.902342
18	299.76557	0	-121.057362	8519.26592	29947.2034	106863.431	-109.626677	158537.281	4474.02191	-22.9413761	60.6265391	-61.1937708	-97.1419935	29.4340586	3093882.61	-417.791995
20	296.641742	0	-49.7717818	8758416.92	2756.48495	214499.828	167.850591	12898.4522	2590.02399	1.99821865	193.494863	36.9670722	174.216102	478.201377	537.777328	-471.446492
22	294.130816	0	-156.159407	397728.344	7067759.52	192080195.0	0.392711828	8891263.86	36162973.4	560.788023	125.931765	-20.9446733	43.4387987	-182.059407	423378.108	-178.605006
24	301.761325	0	-96.032271	917.224017	1385.29397	26230.528	-45.4807461	651.302667	2197.92106	29.637131	189.665192	85.8524669	-77.2022707	-55.2090566	750.295283	-468.952721
26	295.717662	0	-120.819594	12060.3757	151632.309	2534884510.0	-50.250846	10913.6473	92749.831	353.205543	105.396581	472.99284	-24.3858846	-146.719594	15360.4363	-535.583169
28	293.852541	0	-103.242312	257205264000.0	52664.95	193804.697	12.4965211	691036.934	2392418910.0	1114.26727	29.2676827	80.6852126	153.31077	19811.5878	4664.69615	1831.04932
30	297.868197	0	-74.6612081	10453.4035	11362.8954	5470377.09	-63.5712072	4900063.12	3409.30131	47.2109487	280.659039	-2.4477338	470.157959	-29.4466579	41783.9856	-303.215457
